,commit,pred,prob,label,fold
59,46abbb40e1a36bb8d3100fa4af0bf10b9bcdccaf,0,0.32,0,3
60,5340f4c3358ff83fb3eb3ffebf1aafb827eb639d,0,0.0,0,3
61,3a028a2a94d6a18d920e80f076ddbad2d27f1ee5,0,0.065,0,3
62,0ff118952a4e0d05748c6ff876ab182151c9e514,0,0.025,0,3
63,37bef8b8f3cdf9307af8c003ca616913d4c890e5,0,0.085,0,3
64,8a687cc604c5f5dda48b93b28f6e6077366e583e,0,0.0,0,3
65,a0b4b4b79865987b93cea23a9a81a63d6a020351,0,0.2,0,3
66,f6dd42b4fc01d1bef5392b6f19b6bcbafee27637,0,0.12,0,3
67,05361c5a3409a9ca8e4e3438eb87d1cd55b713a8,0,0.115,0,3
68,69e227356dcc1a9f63eb9009247263f4a0d9bedb,0,0.015,0,3
69,5e879a5b150c0b87d0cc60c6f83ad52034e67276,0,0.09,0,3
70,1e52e71b14602a89878d42cd3a874de3a801cdee,0,0.0,0,3
71,73e340ab6e20191041cc6d7cff69f5a261633ecb,0,0.04,0,3
72,8dd2239074e3e1bbadc9f6ce55cd2c2b02a7c9fc,0,0.105,1,3
73,e00564e3b7f437b0771eedd72d24082e8219a077,0,0.0,0,3
74,4119c355543a62c950ac981f802ab201e20de1a4,0,0.215,0,3
75,25f0b048097d109201db7735e0bb53ce878581df,0,0.0,0,3
76,d4338927c884c6973bb15413c29e01bed8b5f5c8,0,0.0,0,3
77,112c7aa7c9706b5a68cf5e17cc2e746e5fda72fd,0,0.0,0,3
78,7e8bf7eeddcabdafe43a223bb746c1097a593ccf,0,0.02,0,3
79,7aae8a4dae3a93cd18623150529d59e3072b48b0,0,0.0,0,3
80,acdd9f280588c8fee7efa9284f312262b43739a9,0,0.0,0,3
81,a15507466b9803f8edf87502802d3f037a08c3af,0,0.0,0,3
82,52ec13ba7da9f021b93104d7f26ad809731cf789,0,0.075,0,3
83,d6fc4d3fba2bb6b08edc9da17a593c016a72b154,0,0.0,0,3
84,4487658a3a6eed51c498b870a97613f689c6fb3e,0,0.0,0,3
85,517f665a549e4187332ff9988d6eaab791f10788,0,0.0,0,3
86,dcc3a769f6b5e77073175b82faf524898695b1c9,0,0.0,0,3
87,36a706e811cb377bcc9e5a93ae4771844e3acc21,0,0.005,0,3
88,42a5482d7a265fe3c1cb538dfb7465588aeadaa6,0,0.43,1,3
89,5a91cbf9322b4fc5ed36f5a68b06d33fc22cb3ae,0,0.19,0,3
90,3bac1ef344824c04f1f895c0418bfc0552ee5371,0,0.02,0,3
91,5776f21e54b280a68ea55b519b9b9a5b1c028941,0,0.065,0,3
92,6dd3724b9b5e29a9bd9f404d28d0cf6d43ccfe95,0,0.05,0,3
93,b2f3f6db411099f91a5436a4f88344ccc1f8d166,0,0.165,1,3
94,c06cc933b6814a76ecf2c6aef459b61d0bc25fb2,0,0.205,0,3
95,52c9e2a2f8197623d97b757d96196b1af32ef429,0,0.165,0,3
